資料日期,基金代號,單位淨值,發行單位數,總淨值
"1130620",="00760B","55.44","437,520,000","24,256,299,749"
"1130620",="00759B","58.21","48,025,000","2,795,569,280"
"1130620",="00758B","54.07","5,525,000","298,728,918"
"1130620",="00756B","33.245","1,318,300,000","43,826,907,867"
"1130620",="00755B","35.04","179,730,000","6,297,753,059"
"1130620",="00754B","37.112","1,072,900,000","39,817,072,762"
"1130620",="00751B","35.341","4,579,603,000","161,847,380,328"
"1130620",="00750B","36.084","126,000,000","4,546,637,125"
"1130620",="00749B","32.497","952,000,000","30,937,519,844"
"1130620",="00746B","37.516","2,432,964,000","91,274,687,265"
"1130620",="00741B","38.914","11,628,000","452,490,848"
"1130620",="00740B","41.276","1,269,471,000","52,399,218,287"
"1130620",="00734B","15.94","33,979,000","541,615,698"
"1130620",="00727B","40.195","96,189,000","3,866,279,172"
"1130620",="00726B","34.602","1,174,489,000","40,639,230,457"
"1130620",="00725B","38.264","2,687,206,000","102,824,369,041"
"1130620",="00724B","35.473","2,789,275,000","98,943,885,444"
"1130620",="00723B","34.687","1,580,583,000","54,826,330,161"
"1130620",="00722B","39.623","1,330,239,000","52,707,971,423"
"1130620",="00721B","47.183","4,622,000","218,080,841"
"1130620",="00720B","36.06","4,108,609,000","148,156,263,664"
"1130620",="00719B","31.836","392,014,000","12,479,955,796"
"1130620",="00697B","36.439","33,712,000","1,228,430,722"
"1130620",="00696B","32.602","1,114,181,000","36,324,275,466"
"1130620",="00695B","35.803","35,186,000","1,259,759,701"
"1130620",="00694B","41.477","194,076,000","8,049,717,436"
"1130620",="00687B","31.87","5,175,787,000","164,950,281,434"
"1130620",="00679B","30.286","7,517,192,000","227,662,247,702"
"1130619",="00928","18.28","24,856,000","454,449,718"
"1130619",="00888","17.2","455,478,000","7,833,852,677"
"1130619",="00877","11.93","284,288,000","3,392,933,999"
"1130619",="00718B","20.803","483,501,000","10,058,213,714"
"1130619",="006201","23.47","14,946,000","350,853,241"
"1130619",="00948B","10.018","846,427,000","8,479,078,419"
"1130619",="00942B","15.726","547,459,000","8,609,236,739"
"1130619",="00937B","15.96","10,354,805,000","165,260,370,936"
"1130619",="00933B","16.901","3,266,458,000","55,206,064,905"
"1130619",="00931B","15.034","1,858,398,000","27,939,549,550"
"1130619",="00890B","34.643","23,264,000","805,943,823"
"1130619",="00887","10.61","44,851,000","475,846,528"
"1130619",="00886","33.64","8,451,000","284,268,205"
"1130619",="00884B","31.107","68,940,000","2,144,511,936"
"1130619",="00883B","32.966","9,758,000","321,684,385"
"1130619",="00870B","30.152","524,651,000","15,819,490,115"
"1130619",="00867B","33.585","729,650,000","24,505,309,111"
"1130619",="00864B","45.653","122,722,000","5,602,576,807"
"1130619",="00863B","34.593","468,464,000","16,205,403,415"
"1130619",="00862B","33.743","620,381,000","20,933,639,469"
"1130619",="00860B","38.674","4,671,000","180,645,398"
"1130619",="00859B","42.534","4,511,000","191,872,511"
"1130619",="00858","32.84","21,874,000","718,331,182"
"1130619",="00857B","26.15","688,768,000","18,011,354,143"
"1130619",="00856B","39.033","8,292,000","323,664,453"
"1130619",="00853B","29.828","65,634,000","1,957,741,350"
"1130619",="00849B","37.358","526,106,000","19,654,025,368"
"1130619",="00848B","35.844","206,066,000","7,386,222,190"
"1130619",="00847B","28.195","11,305,000","318,747,259"
